Error Message,Count,Percentage,claude-3-5,claude-3-7,deepseek-r1,deepseek-s3,gpt-4o,o3-mini,deployment,syntax_validation,yaml_validation
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: c6c3005f-a0d5-b9dd-6db3-280d87f7eb2c, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Parameter validation failed: parameter value sg-00000000 for parameter name VpcSecurityGroupIds does not exist, parameter value subnet-00000000 for parameter name DBSubnetIds does not exist, parameter value subnet-11111111 for parameter name DBSubnetIds does not exist. Delete requested by user.",1,0.01,0,0,0,0,0,1,1,0,0
"Parameter validation failed: parameter value sg-0123456789abcdef0 for parameter name VpcSecurityGroupIds does not exist, parameter value subnet-0123456789abcdef0 for parameter name DBSubnetIds does not exist, parameter value subnet-0123456789abcdef1 for parameter name DBSubnetIds does not exist. Delete requested by user.",1,0.01,0,0,0,0,0,1,1,0,0
['sg-0123456789abcdef0'] is not of type 'string',1,0.01,0,0,0,0,0,1,0,1,0
"['subnet-0123456789abcdef0', 'subnet-0123456789abcdef1'] is not of type 'string'",1,0.01,0,0,0,0,0,1,0,1,0
'AuroraClusterMasterPasswordSecret' dependency already enforced by a 'Ref' at 'Resources/AuroraDBCluster/Properties/MasterUserPassword/Fn::Sub/1/SecretARN',1,0.01,0,0,0,0,0,1,0,1,0
"Line 70: too many spaces inside braces
Line 70: too many spaces inside braces",1,0.01,0,0,0,0,0,1,0,0,1
Line 70: wrong indentation: expected 8 but found 10,1,0.01,0,0,0,0,0,1,0,0,1
"Line 49: too many spaces inside brackets
Line 49: too many spaces inside brackets
Line 50: too many spaces inside brackets
Line 50: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
Parameter validation failed: parameter value vpc-00000000 for parameter name VPCId does not exist. Delete requested by user.,1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""The new key policy will not allow you to update the key policy in the future. (Service: Kms, Status Code: 400, Request ID: 5f63d6f8-e148-43f5-8db8-9a528be51968) (SDK Attempt Count: 1)"" (RequestToken: e18fa0dd-d064-210d-7fc0-e43b15906931, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""The new key policy will not allow you to update the key policy in the future. (Service: Kms, Status Code: 400, Request ID: 7a1522b0-1544-4e8f-b2f8-2244391fb3f9) (SDK Attempt Count: 1)"" (RequestToken: 05f192ab-84c3-4688-34e3-97d3f64ccabc, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: 07051940-a70d-585d-ad87-c5c3de6f9a52, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: a01563bd-5000-f01d-4066-923755ae1980, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 21: too many spaces inside brackets
Line 21: too many spaces inside brackets
Line 32: too many spaces inside brackets
Line 32: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""Invalid / Unmodifiable / Unsupported DB Parameter: time_zone"" (RequestToken: 26ff2adc-624a-ed9b-3a1d-6446d6fcd1f8, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 49: too many spaces inside brackets
Line 49: too many spaces inside brackets
Line 135: too many spaces inside brackets
Line 135: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 51: wrong indentation: expected 8 but found 10
Line 140: wrong indentation: expected 8 but found 10",1,0.01,0,0,0,0,0,1,0,0,1
"Line 49: too many spaces inside brackets
Line 49: syntax error: expected ',' or ']', but got '<tag>' (syntax)
Line 135: too many spaces inside brackets
Line 135: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 138: too many spaces inside brackets
Line 138: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 50: too many spaces inside brackets
Line 50: too many spaces inside brackets
Line 136: too many spaces inside brackets
Line 136: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 56: too many spaces inside brackets
Line 56: too many spaces inside brackets
Line 67: too many spaces inside brackets
Line 67: too many spaces inside brackets
Line 78: too many spaces inside brackets
Line 78: too many spaces inside brackets
Line 89: too many spaces inside brackets
Line 89: too many spaces inside brackets
Line 130: too many spaces inside brackets
Line 130: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 56: too many spaces inside brackets
Line 56: too many spaces inside brackets
Line 67: too many spaces inside brackets
Line 67: too many spaces inside brackets
Line 78: too many spaces inside brackets
Line 78: too many spaces inside brackets
Line 89: too many spaces inside brackets
Line 89: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 142: too many spaces inside brackets
Line 142: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
Line 142: too few spaces after comma,1,0.01,0,0,0,0,0,1,0,0,1
"Line 141: too many spaces inside brackets
Line 141: too many spaces inside brackets
Line 141: too many spaces inside brackets
Line 141: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 63: wrong indentation: expected 8 but found 10
Line 78: wrong indentation: expected 8 but found 10
Line 93: wrong indentation: expected 8 but found 10
Line 157: too many spaces inside brackets
Line 157: too many spaces inside brackets
Line 157: too many spaces inside brackets
Line 157: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 62: too many spaces inside brackets
Line 62: too many spaces inside brackets
Line 73: too many spaces inside brackets
Line 73: too many spaces inside brackets
Line 84: too many spaces inside brackets
Line 84: too many spaces inside brackets
Line 146: too many spaces inside brackets
Line 146: too many spaces inside brackets
Line 146: too many spaces inside brackets
Line 146: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""Invalid parameter at 'PolicyText' failed to satisfy constraint: 'Invalid repository policy provided' (Service: Ecr, Status Code: 400, Request ID: 7e899964-ff1c-43a0-91e9-bf997f0053c2) (SDK Attempt Count: 1)"" (RequestToken: 758fa562-4e86-f2ae-224e-1936c3cd6e10, HandlerErrorCode: GeneralServiceException)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 37: too many spaces inside brackets
Line 37: too many spaces inside brackets
Line 48: too many spaces inside brackets
Line 48: too many spaces inside brackets
Line 162: too many spaces inside braces
Line 162: too many spaces inside braces",1,0.01,0,0,0,0,0,1,0,0,1
"'AWS::SecretsManager::Secret::Value<String>' is not one of ['String', 'Number', 'CommaDelimitedList', 'AWS::EC2::AvailabilityZone::Name', 'AWS::EC2::Image::Id', 'AWS::EC2::Instance::Id', 'AWS::EC2::KeyPair::KeyName', 'AWS::EC2::SecurityGroup::GroupName', 'AWS::EC2::SecurityGroup::Id', 'AWS::EC2::Subnet::Id', 'AWS::EC2::VPC::Id', 'AWS::EC2::Volume::Id', 'AWS::Route53::HostedZone::Id', 'AWS::SSM::Parameter::Name', 'AWS::SSM::Parameter::Value<AWS::EC2::AvailabilityZone::Name>', 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::Instance::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::KeyPair::KeyName>', 'AWS::SSM::Parameter::Value<AWS::EC2::SecurityGroup::GroupName>', 'AWS::SSM::Parameter::Value<AWS::EC2::SecurityGroup::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::Subnet::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::VPC::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::Volume::Id>', 'AWS::SSM::Parameter::Value<AWS::Route53::HostedZone::Id>', 'AWS::SSM::Parameter::Value<AWS::SSM::Parameter::Name>', 'AWS::SSM::Parameter::Value<Number>', 'AWS::SSM::Parameter::Value<String>', 'AWS::SSM::Parameter::Value<CommaDelimitedList>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::AvailabilityZone::Name>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Image::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Instance::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::SecurityGroup::GroupName>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::SecurityGroup::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Subnet::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::VPC::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Volume::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::Route53::HostedZone::Id>>', 'AWS::SSM::Parameter::Value<List<Number>>', 'AWS::SSM::Parameter::Value<List<String>>', 'List<AWS::EC2::AvailabilityZone::Name>', 'List<AWS::EC2::Image::Id>', 'List<AWS::EC2::Instance::Id>', 'List<AWS::EC2::SecurityGroup::GroupName>', 'List<AWS::EC2::SecurityGroup::Id>', 'List<AWS::EC2::Subnet::Id>', 'List<AWS::EC2::VPC::Id>', 'List<AWS::EC2::Volume::Id>', 'List<AWS::Route53::HostedZone::Id>', 'List<Number>', 'List<String>']",1,0.01,0,0,0,0,0,1,0,1,0
Parameter AllowedRegions not used.,1,0.01,0,0,1,0,0,0,0,1,0
"Line 72: too many spaces inside brackets
Line 72: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
'APIConnection' dependency already enforced by a 'GetAtt' at 'Resources/APIDestination/Properties/ConnectionArn',1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: 8785ffb6-3250-4e86-a3d3-460ac4a5be48)"" (RequestToken: 8ebe1c56-84f4-e1f5-0f7c-c4eaa6057cd0, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: 9a231505-e3af-4084-b8d9-22adf8c8b7cb)"" (RequestToken: 11d05613-7c77-415c-e816-0e0fcacb1e6f, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: fd505d71-1cf5-4989-8c0d-f765b24d6b55)"" (RequestToken: 36353b38-6d9c-df4b-0cb9-9b685ec367e5, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 71: wrong indentation: expected 12 but found 14
Line 72: wrong indentation: expected 12 but found 14
Line 73: wrong indentation: expected 12 but found 14
Line 74: wrong indentation: expected 10 but found 12",1,0.01,0,0,0,0,0,1,0,0,1
'LambdaExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/RetentionManagementFunction/Properties/Role',1,0.01,0,1,0,0,0,0,0,1,0
"Resource handler returned message: ""Unable to validate the following destination configurations (Service: S3, Status Code: 400, Request ID: D9YYQDMGCJ4KD4BD, Extended Request ID: oBqJOD+NAtPZfoWqN8EurJu9QEfzUjjvGUSn/w6EMbEtVb+VhyZQ9VJkIubizoYUe7Fl9hA/yME=) (SDK Attempt Count: 1)"" (RequestToken: b69c2dd6-a680-b6c3-fd5e-adedc07a5f8c, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Invalid parameter at 'PolicyText' failed to satisfy constraint: 'Invalid repository policy provided' (Service: Ecr, Status Code: 400, Request ID: 27dcb7cd-6ecb-4b85-82f3-2bc9110f0308) (SDK Attempt Count: 1)"" (RequestToken: 3cfad01b-8dd5-21df-d557-301d34f8f950, HandlerErrorCode: GeneralServiceException)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 51: too many spaces inside brackets
Line 51: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
Line 63: too few spaces after comma,1,0.01,0,0,0,0,0,1,0,0,1
"Line 51: too many spaces inside brackets
Line 51: too many spaces inside brackets
Line 129: too many spaces inside brackets
Line 129: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 56: too many spaces inside brackets
Line 56: too many spaces inside brackets
Line 70: too many spaces inside brackets
Line 70: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 56: too few spaces after comma
Line 70: too few spaces after comma",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""Invalid Email message body for Admin create user flow parameter. Email message body should have {username} which will be replaced by code (Service: CognitoIdentityProvider, Status Code: 400, Request ID: b3d33438-65d0-42e0-bad3-0c7c2db292bf) (SDK Attempt Count: 1)"" (RequestToken: 86cdfa99-7509-3317-b90e-746f2a0453c4, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
{'Ref': 'MasterUserPassword'} is not of type 'string',1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""1 validation error detected: Value 'Your account has been created. Please follow the instructions to set your password.' at 'adminCreateUserConfig.inviteMessage.emailMessage' failed to satisfy constraint: Member must satisfy regular expression pattern: [\p{L}\p{M}\p{S}\p{N}\p{P}\s*]*\{####\}[\p{L}\p{M}\p{S}\p{N}\p{P}\s*]* (Service: CognitoIdentityProvider, Status Code: 400, Request ID: 55d84c10-dbaf-4ddc-a795-ca20d41ed3f7) (SDK Attempt Count: 1)"" (RequestToken: 6e6e1484-c05e-3f93-8d69-9d8dc6e40c1b, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""1 validation error detected: Value 'Your account has been created. Please follow the instructions to set your password.' at 'adminCreateUserConfig.inviteMessage.emailMessage' failed to satisfy constraint: Member must satisfy regular expression pattern: [\p{L}\p{M}\p{S}\p{N}\p{P}\s*]*\{####\}[\p{L}\p{M}\p{S}\p{N}\p{P}\s*]* (Service: CognitoIdentityProvider, Status Code: 400, Request ID: b4a976f7-6399-4f54-9201-5a1927f04c01) (SDK Attempt Count: 1)"" (RequestToken: 2415206e-df08-0896-e17f-90510d238a52, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""1 validation error detected: Value 'Your account has been created. Please follow the instructions to set your password.' at 'adminCreateUserConfig.inviteMessage.emailMessage' failed to satisfy constraint: Member must satisfy regular expression pattern: [\p{L}\p{M}\p{S}\p{N}\p{P}\s*]*\{####\}[\p{L}\p{M}\p{S}\p{N}\p{P}\s*]* (Service: CognitoIdentityProvider, Status Code: 400, Request ID: 743f36a3-1e8f-4424-82fa-1f40071e0228) (SDK Attempt Count: 1)"" (RequestToken: 1b1dca8d-175e-9fcb-9dcf-f3729a273510, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: 019a4370-e636-5bea-291c-080671859358, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: 7949779b-b252-6303-4412-a53f60890914, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: ee27aec9-6071-2e26-5576-93ba5ea26407, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: f9727cfb-8a72-4c0a-5c96-7a545a8d6ddb, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: 7b5db197-ae56-b431-6d2c-bd23c1bd0606, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 132: too many spaces inside brackets
Line 132: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""Unable to marshall request to JSON: Parameter 'ClusterArn' must not be null"" (RequestToken: 339eeeed-ecb7-ec7f-95a3-1604de027040, HandlerErrorCode: InternalFailure)",1,0.01,0,0,0,0,0,1,1,0,0
'AliasName' is not one of [] in ['us-east-1'],1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""The new key policy will not allow you to update the key policy in the future. (Service: Kms, Status Code: 400, Request ID: 74365f29-7710-45a9-909c-10a59aa0e63c) (SDK Attempt Count: 1)"" (RequestToken: 6648247f-26b5-ff7a-b20b-accfb607c996, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"'ReaderEndpoint' is not one of ['DBClusterArn', 'DBClusterResourceId', 'Endpoint', 'Endpoint.Address', 'Endpoint.Port', 'ReadEndpoint.Address', 'MasterUserSecret.SecretArn', 'StorageThroughput'] in ['us-east-1']",1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""Invalid parameter at 'PolicyText' failed to satisfy constraint: 'Invalid repository policy provided' (Service: Ecr, Status Code: 400, Request ID: ed62bc7a-45c7-41bd-b826-6681cfeeb3a6) (SDK Attempt Count: 1)"" (RequestToken: 8fef292f-15e0-4bab-87d2-57512a68e936, HandlerErrorCode: GeneralServiceException)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 24: wrong indentation: expected 8 but found 10
Line 38: wrong indentation: expected 8 but found 10",1,0.01,0,0,0,0,0,1,0,0,1
"'SQSQueueUrl' is not one of ['VpcId', 'WorkerSubnets', 'LoadTestSubnet', 'WorkerInstanceType', 'LoadTestInstanceType', 'KeyName', 'ImageId', 'ScreenshotS3Bucket', 'ScreenshotRequestQueue', 'WorkerInstanceRole', 'WorkerInstanceProfile', 'LoadTestInstanceRole', 'LoadTestInstanceProfile', 'InstanceSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'ScaleUpPolicy', 'ScaleDownPolicy', 'QueueScaleUpAlarm', 'QueueScaleDownAlarm', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,0,0,0,1,0,1,0
"'DstPort' is not one of ['BucketNamePrefix', 'TrafficType', 'LogFilePrefix', 'KMSKeyArn', 'VPC', 'FlowLogsBucket', 'FlowLogsBucketPolicy', 'FlowLogsRole', 'VPCFlowLog', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,1,0,0,0,0,1,0
"'Protocol' is not one of ['BucketNamePrefix', 'TrafficType', 'LogFilePrefix', 'KMSKeyArn', 'VPC', 'FlowLogsBucket', 'FlowLogsBucketPolicy', 'FlowLogsRole', 'VPCFlowLog', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,1,0,0,0,0,1,0
"Resource handler returned message: ""Error occurred while GetObject. S3 Error Code: NoSuchBucket. S3 Error Message: The specified bucket does not exist (Service: Lambda, Status Code: 400, Request ID: 157fe022-403f-438a-b669-d1a552b85d39) (SDK Attempt Count: 1)"" (RequestToken: b44300c1-213c-c5f9-b5d8-1c940da05654, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,1,0,0,0,1,0,0
'RiskManagementTable' dependency already enforced by a 'Ref' at 'Resources/RiskAssessmentFunction/Properties/Environment/Variables/TABLE_NAME',1,0.01,0,0,1,0,0,0,0,1,0
'RiskManagementTable' dependency already enforced by a 'Ref' at 'Resources/RiskResponseFunction/Properties/Environment/Variables/TABLE_NAME',1,0.01,0,0,1,0,0,0,0,1,0
"Resource handler returned message: ""Your access has been denied by S3, please make sure your request credentials have permission to GetObject for lambda-code-bucket/assessment-v1.zip. S3 Error Code: AccessDenied. S3 Error Message: Access Denied (Service: Lambda, Status Code: 403, Request ID: 47d96439-1277-4edd-acd7-ee2327e997bd) (SDK Attempt Count: 1)"" (RequestToken: d94d4e6b-9ca9-69c4-b0b4-03c4d6b338c0, HandlerErrorCode: AccessDenied)",1,0.01,0,0,1,0,0,0,1,0,0
'EFSFileSystem' dependency already enforced by a 'Ref' at 'Resources/BurstCreditAlarm/Properties/Dimensions/0/Value',1,0.01,0,0,0,1,0,0,0,1,0
"Resource handler returned message: ""Your access has been denied by S3, please make sure your request credentials have permission to GetObject for lambda-code-bucket/response-v1.zip. S3 Error Code: AccessDenied. S3 Error Message: Access Denied (Service: Lambda, Status Code: 403, Request ID: 5abe5a58-b734-4414-bd7e-5e3ea50b79df) (SDK Attempt Count: 1)"" (RequestToken: 4e3c85dd-b526-42d3-f3c5-59f3a2f0afbf, HandlerErrorCode: AccessDenied)",1,0.01,0,0,1,0,0,0,1,0,0
"Resource handler returned message: ""Your access has been denied by S3, please make sure your request credentials have permission to GetObject for lambda-code-bucket/assessment-v1.zip. S3 Error Code: AccessDenied. S3 Error Message: Access Denied (Service: Lambda, Status Code: 403, Request ID: 6a84e295-6bc7-4995-8ed8-2ed94b466e6b) (SDK Attempt Count: 1)"" (RequestToken: 25d0fca6-c83a-4f2d-5ef8-d1cfb71b2704, HandlerErrorCode: AccessDenied)",1,0.01,0,0,1,0,0,0,1,0,0
"Resource handler returned message: ""Your access has been denied by S3, please make sure your request credentials have permission to GetObject for lambda-code-bucket/response-v1.zip. S3 Error Code: AccessDenied. S3 Error Message: Access Denied (Service: Lambda, Status Code: 403, Request ID: 3cda97d6-6d4c-4043-b221-6f7d358d78c4) (SDK Attempt Count: 1)"" (RequestToken: 61da9e47-b302-d9b5-f426-03f3c005a596, HandlerErrorCode: AccessDenied)",1,0.01,0,0,1,0,0,0,1,0,0
'EFSFileSystem' dependency already enforced by a 'Ref' at 'Resources/BackupSelection/Properties/BackupSelection/Resources/0',1,0.01,0,0,0,1,0,0,0,1,0
"Resource handler returned message: ""Your access has been denied by S3, please make sure your request credentials have permission to GetObject for lambda-code-bucket/response-v1.zip. S3 Error Code: AccessDenied. S3 Error Message: Access Denied (Service: Lambda, Status Code: 403, Request ID: c5d7aa9d-13a0-4f2c-b7ec-993a4c559ab8) (SDK Attempt Count: 1)"" (RequestToken: 7105d664-72fc-4f3c-164f-271c0eca5c4c, HandlerErrorCode: AccessDenied)",1,0.01,0,0,1,0,0,0,1,0,0
"[{'Key': 'Name', 'Value': {'Fn::Sub': '${AWS::StackName}-EFS-BackupVault'}}] is not of type 'object'",1,0.01,0,0,0,1,0,0,0,1,0
'EFSFileSystem' dependency already enforced by a 'Ref' at 'Resources/IOUtilizationAlarm/Properties/Dimensions/0/Value',1,0.01,0,0,0,1,0,0,0,1,0
"'SrcPort' is not one of ['BucketNamePrefix', 'TrafficType', 'LogFilePrefix', 'KMSKeyArn', 'VPC', 'FlowLogsBucket', 'FlowLogsBucketPolicy', 'FlowLogsRole', 'VPCFlowLog', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,1,0,0,0,0,1,0
"Line 220: syntax error: expected <block end>, but found '-' (syntax)
Line 220: too many spaces inside braces",1,0.01,0,0,0,0,0,1,0,0,1
"'DstAddr' is not one of ['BucketNamePrefix', 'TrafficType', 'LogFilePrefix', 'KMSKeyArn', 'VPC', 'FlowLogsBucket', 'FlowLogsBucketPolicy', 'FlowLogsRole', 'VPCFlowLog', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,1,0,0,0,0,1,0
'VPCId' is a required property,1,0.01,0,0,0,1,0,0,0,1,0
'OrgDataBucket' dependency already enforced by a 'GetAtt' at 'Resources/GlueCrawlerRole/Properties/Policies/0/PolicyDocument/Statement/0/Resource/0',1,0.01,0,0,1,0,0,0,0,1,0
'OrgDataBucket' dependency already enforced by a 'GetAtt' at 'Resources/GlueCrawlerRole/Properties/Policies/0/PolicyDocument/Statement/0/Resource/1',1,0.01,0,0,1,0,0,0,0,1,0
'GlueCrawlerRole' dependency already enforced by a 'GetAtt' at 'Resources/OrgDataCrawler/Properties/Role',1,0.01,0,0,1,0,0,0,0,1,0
"'And - !Condition CreateAlarms - !Condition HasAlarmEmail' is not one of ['CreateAlarms', 'HasAlarmEmail']",1,0.01,0,0,0,1,0,0,0,1,0
"Resource handler returned message: ""Invalid request provided: You should at least provide one valid token (Service: Amplify, Status Code: 400, Request ID: 02c23831-ae36-490b-9403-e27bc574f345) (SDK Attempt Count: 1)"" (RequestToken: 86d36942-6901-192c-dfa1-f017d333799f, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,1,0,0,0,1,0,0
"Resource handler returned message: ""Invalid request provided: You should at least provide one valid token (Service: Amplify, Status Code: 400, Request ID: 1185ca80-cbc1-4fc9-815e-02a6d5841cc7) (SDK Attempt Count: 1)"" (RequestToken: 1f9c3194-b794-1f5e-bf45-fe164a5d1c49, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,1,0,0,0,1,0,0
"Resource handler returned message: ""Invalid request provided: You should at least provide one valid token (Service: Amplify, Status Code: 400, Request ID: faaebdd8-fedc-4434-8ab6-bb1b4db85fda) (SDK Attempt Count: 1)"" (RequestToken: 4adf9f7e-5399-feee-f1ea-a55617f5dbdb, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,1,0,0,0,1,0,0
"Resource handler returned message: ""Invalid request provided: You should at least provide one valid token (Service: Amplify, Status Code: 400, Request ID: 58eee278-27d2-4acd-b89a-6a91fd268df2) (SDK Attempt Count: 1)"" (RequestToken: 535ad19c-e8a1-d1b8-1765-bc1543e85efb, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,1,0,0,0,1,0,0
'AlarmSNSTopic' dependency already enforced by a 'Ref' at 'Resources/WriteThroughputAlarm/Properties/OKActions/0',1,0.01,0,0,0,1,0,0,0,1,0
Parameter BillingAccountId not used.,1,0.01,0,0,1,0,0,0,0,1,0
Parameter IdentityManagementAccount not used.,1,0.01,0,0,1,0,0,0,0,1,0
"Resource handler returned message: ""1 validation error detected: Value 'version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status' at 'logFormat' has an invalid format (Service: Ec2, Status Code: 400, Request ID: 6ff8e514-39dc-4ac4-9fba-df03a6c84ac3) (SDK Attempt Count: 1)"" (RequestToken: dfef1033-be01-65a3-8d18-7879722d26ed, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,1,0,0,0,1,0,0
"Resource handler returned message: ""1 validation error detected: Value 'version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status' at 'logFormat' has an invalid format (Service: Ec2, Status Code: 400, Request ID: b7e7003b-a5b9-4395-84da-401697de9da7) (SDK Attempt Count: 1)"" (RequestToken: ef925b32-9170-a942-0393-f4f357c5e12c, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,1,0,0,0,1,0,0
